id,shapeName,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,surface_pm25_annual_v5gl03.2015.mean,surface_pm25_annual_v5gl03.2016.mean,surface_pm25_annual_v5gl03.2019.mean,surface_pm25_annual_v5gl03.2018.mean,surface_pm25_annual_v5gl03.2014.mean,surface_pm25_annual_v5gl03.2008.mean,surface_pm25_annual_v5gl03.2002.mean,surface_pm25_annual_v5gl03.2009.mean,surface_pm25_annual_v5gl03.2007.mean,surface_pm25_annual_v5gl03.2000.mean,surface_pm25_annual_v5gl03.2006.mean,surface_pm25_annual_v5gl03.2013.mean,surface_pm25_annual_v5gl03.1998.mean,surface_pm25_annual_v5gl03.2012.mean,surface_pm25_annual_v5gl03.2004.mean,surface_pm25_annual_v5gl03.2005.mean,surface_pm25_annual_v5gl03.2011.mean,surface_pm25_annual_v5gl03.1999.mean,surface_pm25_annual_v5gl03.2010.mean,surface_pm25_annual_v5gl03.2003.mean,surface_pm25_annual_v5gl03.2017.mean,surface_pm25_annual_v5gl03.2021.mean,surface_pm25_annual_v5gl03.2001.mean,surface_pm25_annual_v5gl03.2020.mean,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,inv_0,inv_1,inv_2,inv_3,inv_4,inv_5,inv_6,op_0,op_1,op_2,op_3,op_4,op_5,op_6,tec_0,tec_1,tec_2,tec_3,tec_4,tec_5,tec_6,ent_0,ent_1,ent_2,ent_3,ent_4,ent_5,ent_6
0,Constanza,0.401207055,0.263253178,0.194625186,0.352943102,0.299194316,0.241207748,0.351992806,0.546143848,0.317719023,16.76049359,18.14842388,16.16557021,17.69174886,17.51136004,15.55203807,15.62318444,15.01266476,16.06579784,12.40533744,15.20100856,16.63609061,11.27540622,15.96994123,14.81131939,17.08018687,16.91272947,11.2836917,17.35802053,16.95925382,19.28050711,17.67329248,15.82416051,17.42575131,45970.07031,1062.630005,47035.88281,1062.630005,49470.70313,1062.630005,48345.64844,1062.630005,52060.17578,1062.630005,50638.52344,1062.630005,53419.18359,1062.630005,56472.50781,1062.630005,55033.14063,1062.630005,57942.625,1062.630005,59601.75,1062.630005,61356.37891,1062.630005,62881.07813,1062.630005,64882.16797,1062.630005,66922.76563,1062.630005,68747.25,1062.630005,71156.85938,1062.630005,73428.03125,1062.630005,75796.44531,1062.630005,78273.48438,1062.630005,80849.89844,1062.630005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Sabana De La Mar,0.100588613,0.06729645,0.063386658,0.069212323,0.083286691,0.067278126,0.085678115,0.108171153,0.095685973,8.747004951,8.801010344,9.119750807,9.401764974,8.389774507,7.52679609,9.838097772,7.517599634,9.824925374,9.836101131,9.265748712,7.644543658,8.955095733,7.975071331,7.897896907,9.475128832,7.235671942,8.945237627,8.955179226,10.2148286,9.346537925,8.985340859,10.44350221,8.291758393,14736.20801,643.9200439,14754.04688,643.8900146,14836.92188,643.8900146,14827.05859,643.8900146,14959.02539,643.8900146,14940.54688,643.8900146,15013.51855,643.8900146,15166.10742,643.8900146,15104.97363,643.8900146,15303.83984,643.8900146,15488.15234,643.8900146,15583.21777,643.8900146,15605.83984,643.8900146,15690.0293,643.8900146,15843.35645,643.8900146,15981.16895,643.8900146,16100.64648,643.8900146,16229.23828,643.8900146,16351.71484,643.8900146,16478.46484,643.8900146,16611.49023,643.8900146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Moca,2.86798565,1.833165626,1.374915355,1.99075383,2.010602363,1.572899919,2.31125766,2.876479441,2.509238157,12.04465241,12.28647125,12.11708706,12.70118796,11.70722222,10.43240893,12.94790554,10.08964082,12.66444564,12.07620214,11.85905648,10.86600159,11.19246205,10.7429932,10.59370635,13.34620267,10.77188831,10.38560676,12.30572266,13.56750421,13.47060256,12.13916063,13.5292428,11.35354401,74844.14063,248.0900116,77744.73438,248.0900116,84006.57031,248.0900116,81927.13281,248.0900116,89146.88281,248.0900116,86649.19531,248.0900116,91864.375,248.0900116,98647.46875,248.0900116,94853.23438,248.0900116,104494.7031,248.0900116,107402.2656,248.0900116,111147.8047,248.0900116,113425.4453,248.0900116,118354.6172,248.0900116,121928.1797,248.0900116,126503.7109,248.0900116,131977.125,248.0900116,136775.4219,248.0900116,142350.25,248.0900116,148277.4844,248.0900116,153291.3906,248.0900116,21420726.14,19610193.8,9765436.56,15439930.34,12577321.8,11770957.9,17494945.85,1345.69,1603.33,1742.84,2043,2316.78,2597.49,2540.5,2684.83,2750,3550.31,3587.22,4106.91,4287.64,4488.96,8,9,9,11,9,8,9
3,Bayaguana,0.128496227,0.054002599,0.03616231,0.079397021,0.042955889,0.049891067,0.130070889,0.135143687,0.125407822,11.04139247,11.13269615,11.04284079,11.42684949,10.60954634,9.555599577,11.15559413,9.346379167,11.67518731,10.03020145,10.8654616,9.919593215,8.818195733,9.7654997,9.233022302,11.00829542,9.241487938,8.565984828,10.97631117,11.73791104,11.55623319,11.27044891,11.48002055,10.25541399,32907.83203,1089.48999,32802.625,1089.48999,32459.38672,1089.48999,32701.80078,1089.48999,32123.99805,1089.48999,32240.41797,1089.48999,32005.17773,1089.48999,31838.54883,1089.48999,31828.58984,1089.48999,31656.45898,1089.48999,31513.38672,1089.48999,31426.47656,1089.48999,31294.90625,1089.48999,31123.8418,1089.48999,31036.79883,1089.48999,30900.89844,1089.48999,30770.75,1089.48999,30622.75391,1089.48999,30542.8457,1089.48999,30420.6875,1089.48999,30310.66016,1089.48999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,El Factor,0.418199564,0.264412591,0.223998126,0.269765752,0.28741966,0.275440493,0.398318072,0.506685201,0.384315572,9.327313935,9.392630188,9.919683644,10.20099303,9.061767829,8.379813998,11.26385167,8.053923287,10.86105105,12.00745831,10.31238893,8.395823758,10.22348795,8.553191673,8.92740859,10.68082089,7.961259257,9.775774011,9.840451486,11.48690413,10.22718712,9.606016372,11.97264394,8.738341855,19353.31641,186.6600037,19696.43164,186.6600037,20543.07422,186.6600037,20171.14063,186.6600037,21655.9707,186.6600037,20984.31641,186.6600037,22166.1582,186.6600037,23429.54297,186.6600037,22585.06445,186.6600037,24157.01563,186.6600037,24985.70703,186.6600037,25939.06641,186.6600037,26729.71094,186.6600037,27863.26953,186.6600037,28916.03516,186.6600037,30105.85742,186.6600037,31415.05469,186.6600037,32826.16406,186.6600037,34232,186.6600037,35890.28125,186.6600037,37616.5625,186.6600037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,San Francisco De Macorís,1.525940889,0.923519803,0.726898604,1.079193866,1.122924997,0.842374888,1.238580454,1.620531078,1.360182932,11.23096792,11.51605129,11.59142168,12.07359876,10.93037145,9.678096926,12.9705263,9.542031671,12.09138262,12.66205098,11.3654592,10.29476256,10.57167648,10.09827141,10.21290568,12.32294865,9.828941127,9.949485226,11.63752718,13.22091605,12.43945484,11.55643317,13.76855242,10.60665182,159081.1875,954.5100098,161590.375,954.5100098,166688.0313,954.5100098,164067.25,954.5100098,172388.0469,954.5100098,169492.2813,954.5100098,175447.2188,954.5100098,181691.4063,954.5100098,178542.5313,954.5100098,184952.9531,954.5100098,188176.0625,954.5100098,191451.7344,954.5100098,195144.3438,954.5100098,198670.5625,954.5100098,202590.0156,954.5100098,206709.625,954.5100098,210575.2188,954.5100098,214638.6875,954.5100098,218798.5,954.5100098,223119.125,954.5100098,227513.8594,954.5100098,131939.96,1053438.3,588095,9278419.812,18544510.7,17328060.3,18024474.61,1246.15,1246.15,1479.23,4526.7,4706.14,4839.91,4819.99,2500,2500,2800,9675,8890.34,9191.44,9191.48,1,2,2,3,3,3,3
6,Puerto Plata,2.04482868,1.331406165,1.108985057,1.607012594,1.502418883,1.295698969,1.655829672,1.848521329,1.860316018,9.884047341,9.776664454,10.04929514,10.36277665,9.604471774,8.617602429,10.90699082,8.432826903,10.85849287,11.12203795,10.09403311,8.787288016,11.73766052,9.180845345,8.872039758,11.42853557,8.773367583,11.34905357,10.51049538,11.63467517,10.63501634,9.63958442,11.33942126,8.638751598,133719.7969,635.2799683,134718.0156,635.2799683,137656.375,635.2799683,136504.8906,635.2799683,139861.2813,635.2799683,139084.4844,635.2799683,141082.0156,635.2799683,144236.6719,635.2799683,142997.5313,635.2799683,146180.5156,635.2799683,149061.4688,635.2799683,148770.6406,635.2799683,149121.0938,635.2799683,150749.625,635.2799683,151930.6875,635.2799683,153787.8438,635.2799683,155252.4219,635.2799683,156712.4531,635.2799683,158312.25,635.2799683,159983.9844,635.2799683,161437.4531,635.2799683,2893421.81,4141555.4,6387900.94,8097540.288,8553756.2,12873522.6,13735084.78,1836.5,1660.5,1823.72,1784.86,1910.4,2260.84,2371.13,3522.93,3325,4500,3974.11,3575,3785,4466.67,7,6,7,6,6,9,10
7,Jamao Al Norte,0.252165189,0.083824438,0.069197963,0.174347356,0.131898186,0.074933907,0.220236894,0.253253875,0.261308977,10.0953542,10.10164896,10.34364441,10.59308864,9.72392655,8.62157163,11.65753042,8.492848934,10.92635842,11.81254054,10.32424596,9.015743973,11.53306637,9.232466656,9.242393162,11.52138545,8.941501229,11.14122847,10.57811962,12.1009675,10.90073822,9.848113752,12.03242048,9.045625139,7965.85791,147.1199951,7881.981445,147.1199951,7825.963867,147.1199951,7972.353516,147.1199951,7848.502441,147.1199951,7906.873047,147.1199951,7875.133301,147.1199951,7816.075195,147.1199951,7840.295898,147.1199951,7882.293945,147.1199951,7814.043945,147.1199951,7792.412109,147.1199951,7689.448242,147.1199951,7666.418945,147.1199951,7660.78125,147.1199951,7627.509766,147.1199951,7740.95166,147.1199951,7728.9375,147.1199951,7704.155762,147.1199951,7690.53125,147.1199951,7687.64502,147.1199951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Las Matas de Santa Cruz,0.559732419,0.295194573,0.248293247,0.336627246,0.347478864,0.278546816,0.399221503,0.747700289,0.432919479,10.92827894,10.34053244,10.49876334,11.57149609,10.83228856,9.663423182,11.52692183,9.549859685,11.65987541,10.68514595,11.04153845,9.875288208,11.47249761,10.18461634,9.598787059,12.57843703,9.984193101,10.42975265,11.10504688,12.21218288,11.66608671,11.26669287,11.42680393,10.43715682,17878.91016,92.5,16779.74609,92.5,14557.14258,92.5,14830.40137,92.5,13287.22656,92.5,14134.54004,92.5,12310.04395,92.5,11521.84766,92.5,11818.12598,92.5,10633.91406,92.5,10158.45313,92.5,10013.41602,92.5,9720.254883,92.5,9316.271484,92.5,8661.104492,92.5,8439.001953,92.5,8120.867676,92.5,7832.042969,92.5,7382.330078,92.5,7057.838379,92.5,6737.196777,92.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jimaní,0.170737033,0.165481914,0.084955032,0.156046906,0.173565628,0.088308634,0.182420885,0.216195274,0.175772055,14.33508951,13.41710845,12.69930884,13.28871782,13.15500707,12.3666536,13.64013907,11.91488244,13.01064893,11.9586452,13.20765205,13.50577091,9.312232789,13.32620518,12.11105542,13.56664905,13.08095028,9.033720913,14.45998433,14.28088061,14.18186132,14.24664147,12.76022685,14.42506799,12911.79004,591.5,13407.50391,591.5,14711.61816,591.5,14010.27148,591.5,15962.47754,591.5,15379.61328,591.5,16950.81055,591.5,18487.98047,591.5,17727.42578,591.5,19252.73047,591.5,20275.32617,591.5,21095.83594,591.5,22056.58594,591.5,22966.14648,591.5,24168.95117,591.5,25080.81445,591.5,26337.23828,591.5,27411.42969,591.5,28792.10156,591.5,30129.92383,591.5,31529.30469,591.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
