id,shapeName,births_2001,births_2002,births_2003,births_2004,births_2005,births_2006,births_2007,births_2008,births_2009,births_2010,births_2011,births_2012,births_2013,births_2014,births_2015,births_2016,births_2017,births_2018,births_2019,births_2020,births_2021
0,Santiago,"22,442","20,473","19,712","18,850","18,862","18,565","18,172","18,917","17,558","19,600","20,458","19,404","19,529","17,903","19,276","18,965","19,553","20,625","20,759","17,826","19,044"
1,Duarte,"5,971","4,970","4,181","4,930","4,361","4,347","4,582","4,496","5,066","5,286","5,313","5,320","5,322","5,197","5,082","4,720","4,778","4,912","4,989","4,355","4,560"
2,Elías Piña,"1,310","1,363","1,108","1,019",965,905,861,809,823,805,789,700,715,820,779,705,651,823,880,710,834
3,Hato Mayor,"1,387","1,527","1,379","1,334","1,418","1,289","1,066","1,251",995,"1,364","1,423","1,357",998,921,"1,443","1,291","1,299","1,376","1,260","1,132","1,203"
4,La Vega,"7,334","7,151","6,673","6,558","5,856","6,168","5,977","6,149","6,029","6,061","6,477","6,533","6,423","6,460","6,369","6,342","6,506","6,589","6,743","5,601","4,848"
5,Sánchez Ramírez,"3,216","3,180","3,159","2,749","2,623","2,355","2,162","2,338","2,480","2,553","2,665","2,444","2,371","2,485","2,246","2,148","2,251","2,204","2,170","2,066","2,199"
6,Samaná,"1,818","1,758","1,797","1,713","1,684","1,493","1,531","1,634","1,840","1,627","1,740","1,562","1,531","1,450","1,370","1,386","1,556","1,510","1,537","1,381","1,250"
7,Valverde,"3,165","3,207","2,938","2,636","2,462","2,253","2,378","2,548","2,542","2,655","2,782","2,782","2,738","2,917","2,771","2,806","3,092","3,350","3,670","3,149","3,761"
8,Barahona,"4,775","5,072","4,142","3,881","3,945","3,581","3,730","4,156","4,376","4,485","4,749","4,705","4,863","4,876","4,386","4,120","4,370","4,477","4,473","3,782","3,711"
9,La Romana,"5,462","5,269","5,033","4,829","4,885","4,721","4,530","4,742","4,799","4,658","4,845","4,601","4,809","4,962","4,611","4,307","4,858","4,908","4,614","4,271","3,965"
10,Monseñor Nouel,"3,840","3,915","3,581","3,436","3,482","3,225","3,081","3,197","3,262","3,183","3,145","3,258","3,246","3,528","3,208","3,016","3,031","3,091","3,000","2,586","2,572"
11,Montecristi,"1,817","1,681","1,457","1,185","1,201","1,201","1,259","1,223","1,237","1,247","1,385","1,242","1,133","1,502","1,321","1,192","1,216","1,191","1,425","1,302","1,251"
12,Pedernales,314,330,261,216,280,309,257,241,218,243,270,279,301,339,306,235,236,250,311,326,348
13,Peravia,"3,916","3,813","3,795","3,462","3,599","3,339","3,126","3,040","3,233","2,978","2,959","3,067","3,174","3,135","3,221","2,948","3,126","3,349","3,559","3,033","3,289"
14,Puerto Plata,"5,824","5,504","5,337","5,003","5,030","4,644","4,087","4,449","4,168","4,262","4,329","4,049","4,531","4,781","4,574","4,392","4,594","4,727","4,620","3,973","3,817"
15,San José de Ocoa,"1,274","1,217","1,165",990,"1,018",849,642,737,654,673,703,623,722,775,714,673,698,770,798,856,798
16,San Juan,"6,164","6,113","5,487","4,519","4,570","4,240","4,479","4,358","4,297","4,456","4,308","4,073","4,204","4,852","4,477","4,115","4,280","4,292","4,412","4,004","4,511"
17,Santiago Rodríguez,969,"1,047","1,019",679,889,868,"1,053","1,169","1,086","1,176","1,311","1,189","1,124","1,082",946,"1,011",986,978,897,920,837
18,Distrito Nacional,"64,651","64,343","59,252","39,159","38,435","36,165","36,351","37,457","39,694","38,248","41,495","40,113","38,394","38,500","34,365","31,398","31,205","29,144","30,582","31,474","29,745"
19,El Seibo,"1,502","1,416","1,316","1,140","1,227",842,"1,038","1,077","1,185","1,102","1,107",979,630,748,812,875,840,947,897,861,839
20,Espaillat,"2,444","4,153","3,928","3,448","3,571","3,319","3,013","2,904","3,062","2,943","3,341","3,067","3,092","2,931","2,856","2,771","2,804","2,683","2,706","2,597","2,668"
21,Hermanas Mirabal,"2,128","1,675","1,582","1,718","1,475","1,450","1,405","1,478","1,493","1,382","1,504","1,412","1,451","1,436","1,309","1,286","1,376","1,404","1,383","1,268","1,298"
22,Independencia,916,940,822,700,816,685,622,626,650,641,676,661,651,619,404,431,459,630,776,682,542
23,Baoruco,"2,163","2,305","2,015","1,854","2,015","1,810","1,712","1,587","1,560","1,704","1,321","1,220","1,429","1,443","1,328","1,060","1,030","1,014",941,"1,027","1,084"
24,Azua,"5,159","5,166","4,629","4,131","4,197","3,617","3,811","3,753","3,714","4,054","4,041","3,808","4,114","4,299","3,650","3,370","3,359","3,698","3,641","3,224","3,173"
25,Dajabón,"1,146","1,077",814,856,877,838,622,533,673,708,756,835,795,963,938,880,888,845,958,743,711
26,La Altagracia,"3,969","3,789","3,823","3,957","4,102","4,104","4,046","4,565","4,964","4,824","4,886","4,996","5,083","5,179","5,308","5,238","5,827","6,944","7,708","6,175","4,920"
27,María Trinidad Sánchez,"2,370","2,461","2,111","2,418","2,047","2,192","2,183","2,300","2,495","2,592","2,480","2,465","2,378","2,547","2,505","2,417","2,416","2,355","2,436","2,223","2,049"
28,Santo Domingo,"2,688","3,072","3,908","21,015","20,614","21,048","22,355","25,254","25,988","26,675","27,224","26,337","27,700","29,483","32,038","31,108","34,502","37,748","38,130","28,650","31,744"
29,Monte Plata,"4,401","3,430","3,160","2,881","2,931","2,463","2,158","2,027","1,829","1,803","1,774","1,554","1,354","1,760","1,922","1,800","1,978","2,158","2,276","2,037","2,014"
30,San Cristóbal,"11,820","11,331","10,644","10,111","9,576","8,851","8,665","8,608","9,035","9,072","9,254","8,617","8,993","9,490","9,283","8,191","8,947","9,497","9,119","8,451","8,164"
31,San Pedro de Macorís,"7,523","7,547","6,568","6,284","6,168","5,287","5,021","5,278","5,881","5,762","5,922","5,693","6,557","6,588","5,719","5,488","5,738","6,070","6,021","5,018","5,335"
33,Other countries,55,49,56,76,108,441,5,2,0,5,1,1,43,0,0,0,0,0,0,0,0
34,No declared,27,25,14,10,8,7,19,10,14,10,0,3,3,1,1,0,0,0,0,0,0
