id,shapeName,deaths_2005,deaths_2006,deaths_2007,deaths_2008,deaths_2009,deaths_2010,deaths_2011,deaths_2012,deaths_2013,deaths_2014,deaths_2015,deaths_2016,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021
0,Santiago,511,442,437,434,484,434,400,384,409,388,256,255,348,451,403,277,408
1,Duarte,94,74,81,92,91,96,50,66,69,55,54,49,54,68,83,68,73
2,Elías Piña,7,14,15,15,17,8,14,15,30,23,19,12,24,32,34,20,26
3,Hato Mayor,22,19,27,17,8,21,16,21,16,19,9,7,16,16,25,14,20
4,La Vega,114,141,104,122,119,61,98,107,130,129,69,96,110,169,123,115,108
5,Sanchez Ramírez,46,34,35,24,28,38,40,36,43,35,19,27,33,37,36,33,28
6,Samaná,19,23,23,33,23,27,21,22,24,17,29,18,21,39,25,14,15
7,Valverde,57,50,46,73,64,70,57,73,69,54,51,48,77,76,77,54,72
8,Barahona,67,38,66,98,75,27,81,61,75,80,48,33,34,90,53,40,79
9,La Romana,28,42,34,37,28,33,24,81,70,60,64,24,37,85,71,55,65
10,Monseñor Nouel,65,50,33,46,55,45,37,65,58,50,26,29,41,36,52,28,28
11,Monte Cristi,52,33,37,57,44,50,43,53,54,48,41,41,44,67,50,28,59
12,Pedernales,4,9,3,4,9,3,3,7,9,4,4,4,7,8,15,9,13
13,Peravia,83,73,67,56,77,55,49,49,46,67,44,42,67,59,73,48,65
14,Puerto Plata,65,102,100,109,78,76,70,99,103,88,67,70,66,85,105,64,94
15,San José de Ocoa,20,21,11,20,17,8,7,18,12,18,9,9,21,15,6,8,18
16,San Juan,83,51,48,97,93,52,50,69,73,74,59,71,69,79,79,42,59
17,Santiago Rodríguez,22,17,19,14,23,11,18,15,33,15,13,14,17,21,21,9,18
18,Distrito Nacional,281,345,324,253,288,242,254,310,311,308,378,303,299,255,179,157,275
19,El Seibo,13,20,6,7,14,8,10,7,8,10,9,12,11,8,6,9,9
20,Espaillat,59,63,47,75,65,63,52,47,71,62,45,51,37,62,50,31,41
21,Hermanas Mirabal,28,21,20,21,24,29,16,18,16,22,25,15,17,16,17,21,11
22,Independencia,15,15,8,16,12,7,17,12,11,16,12,8,12,19,20,15,23
23,Baoruco,27,25,19,36,24,6,33,17,29,33,25,19,22,28,32,21,38
24,Azua,46,41,56,49,38,59,51,66,68,71,56,49,44,64,60,35,63
25,Dajabón,20,31,21,25,24,22,16,19,22,22,24,18,12,29,23,12,14
26,La Altagracia,43,36,32,58,63,59,62,62,69,55,70,81,79,69,106,48,136
27,María Trinidad Sánchez,20,35,34,40,23,29,38,21,35,37,35,33,38,27,35,15,39
28,Santo Domingo,809,863,850,838,952,754,758,919,974,995,837,730,954,"1,118",895,852,967
29,Monte Plata,93,79,73,71,90,69,63,63,71,60,70,34,43,48,56,50,67
30,San Cristóbal,237,171,181,229,256,209,160,180,202,207,156,160,191,221,162,143,199
31,San Pedro de Macorís,110,145,118,121,142,148,109,108,95,85,90,78,85,92,108,98,114
33,Extranjeros,5,16,10,186,15,208,22,18,7,7,6,1,2,5,8,7,19
34,Ignorado ,111,145,81,48,172,26,197,278,0,0,0,0,0,0,0,0,0
