id,shapeName,year,op,inv,pop,ent,tc,ntl
0,Constanza,0,0.0,0.0,64882.16797,0,0.0,0.241207748
1,Sabana De La Mar,0,0.0,0.0,15690.0293,0,0.0,0.067278126
2,Moca,0,2043.0,15439930.34,118354.6172,11,3587.22,1.572899919
3,Bayaguana,0,0.0,0.0,31123.8418,0,0.0,0.049891067
4,El Factor,0,0.0,0.0,27863.26953,0,0.0,0.275440493
5,San Francisco De Macorís,0,4526.7,9278419.812,198670.5625,3,9675.0,0.842374888
6,Puerto Plata,0,1784.86,8097540.288,150749.625,6,3974.11,1.295698969
7,Jamao Al Norte,0,0.0,0.0,7666.418945,0,0.0,0.074933907
8,Las Matas de Santa Cruz,0,0.0,0.0,9316.271484,0,0.0,0.278546816
9,Jimaní,0,0.0,0.0,22966.14648,0,0.0,0.088308634
10,Baní,0,0.0,0.0,125497.7813,0,0.0,0.828081455
11,Villa Hermosa,0,0.0,0.0,90835.60938,0,0.0,3.270833489
12,El Cercado,0,0.0,0.0,19634.08984,0,0.0,0.270919329
13,Eugenio María De Hostos,0,0.0,0.0,5887.66748,0,0.0,0.136543807
14,Bohechío,0,0.0,0.0,6980.415527,0,0.0,0.085441674
15,Arenoso,0,0.0,0.0,11825.9082,0,0.0,0.096386305
16,Tábara Arriba,0,0.0,0.0,18985.64063,0,0.0,0.137373267
17,Vicente Noble,0,0.0,0.0,27742.83984,0,0.0,0.300289711
18,Consuelo,0,0.0,0.0,28317.08594,0,0.0,0.663304688
19,Puñal,0,4252.69,89754058.1,56279.13281,27,6929.79,4.996156429
20,Juan Santiago,0,0.0,0.0,4070.822266,0,0.0,0.051556066
21,La Descubierta,0,0.0,0.0,9577.541016,0,0.0,0.049661073
22,Boca Chica,0,11487.57,402579991.7,155426.1406,39,24822.46,6.583641764
23,Tenares,0,0.0,0.0,28356.61914,0,0.0,0.605884625
24,Villa Montellano,0,0.0,0.0,20409.5625,0,0.0,0.602911694
25,Sosúa,0,0.0,0.0,47644.76953,0,0.0,0.700822475
26,Las Charcas,0,0.0,0.0,11473.19238,0,0.0,0.143825301
27,Castañuelas,0,0.0,0.0,15532.92188,0,0.0,0.675124493
28,Jarabacoa,0,0.0,0.0,56872.07031,0,0.0,0.28479017
29,Jima Abajo,0,0.0,0.0,37675.48438,0,0.0,0.657034057
30,Pimentel,0,0.0,0.0,17706.88477,0,0.0,0.305059389
31,Yamasá,0,0.0,0.0,50787.97656,0,0.0,0.131969588
32,Sabana Iglesia,0,0.0,0.0,14900.07617,0,0.0,0.854558193
33,Dajabón,0,0.0,0.0,41783.63281,0,0.0,0.288330983
34,Los Cacaos,0,0.0,0.0,9800.477539,0,0.0,0.031704997
35,El Peñón,0,0.0,0.0,3391.15332,0,0.0,0.168890776
36,Fantino,0,0.0,0.0,22493.88672,0,0.0,0.44251956
37,Guananico,0,0.0,0.0,6532.200195,0,0.0,0.249946762
38,Hato Mayor,0,1665.0,1282142.833,65167.375,1,3800.0,0.252084676
39,Tamboril,0,3941.6,85652896.71,57354.04688,13,8891.5,3.296600106
40,Miches,0,0.0,0.0,18717.45703,0,0.0,0.072126072
41,Monte Plata,0,0.0,0.0,61078.71875,0,0.0,0.162919033
42,Oviedo,0,0.0,0.0,7406.606445,0,0.0,0.05792916
43,El Llano,0,0.0,0.0,8552.178711,0,0.0,0.141200998
44,Guaymate,0,0.0,0.0,16111.57422,0,0.0,0.1182845
45,Los Hidalgos,0,0.0,0.0,12238.67969,0,0.0,0.126984322
46,Maimón,0,0.0,0.0,20877.33008,0,0.0,1.842334256
47,Mella,0,0.0,0.0,4230.491211,0,0.0,0.049060148
48,Monción,0,0.0,0.0,11562.85742,0,0.0,0.318757799
49,Monte Cristi,0,0.0,0.0,21600.80078,0,0.0,0.186677458
50,Neiba,0,0.0,0.0,39301.9375,0,0.0,0.313113709
51,Sabana Grande De Boyá,0,0.0,0.0,32782.82813,0,0.0,0.098953128
52,Las Yayas De Viajama,0,0.0,0.0,19658.13281,0,0.0,0.101959248
53,Licey Al Medio,0,0.0,4595304.703,27002.9043,0,0.0,5.427573569
54,Las Guáranas,0,0.0,0.0,15819.98145,0,0.0,0.424836542
55,Las Salinas,0,0.0,0.0,4112.574219,0,0.0,0.08041161
56,Bajos de Haina,0,0.0,0.0,131191.9531,0,0.0,10.11488183
57,Castillo,0,0.0,0.0,14963.61328,0,0.0,0.203336262
58,Cevicos,0,0.0,0.0,14900.34961,0,0.0,0.07607316
59,Cristóbal,0,0.0,0.0,6885.307617,0,0.0,0.064698911
60,Hondo Valle,0,0.0,0.0,11067.12891,0,0.0,0.08470547
