id ,province,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,,,
0,Santiago,3.7,0.9,1.6,1.4,1.7,1.7,1.8,2.9,1.7,1.9,2.9,,,
1,Duarte,2.6,1.0,2.2,1.6,1.8,1.9,1.9,1.8,1.4,2.1,2.7,,,
2,Elías Piña,5.3,3.6,6.6,7.4,7.2,6.6,7.3,7.0,7.7,7.0,6.5,,,
3,Hato Mayor,3.9,1.2,2.3,2.2,2.6,2.9,2.4,2.8,2.7,3.2,4.3,,,
4,La Vega,3.0,0.8,1.9,1.8,1.7,1.8,2.4,2.7,2.8,2.9,3.4,,,
5,Sánchez Ramírez,1.5,0.6,1.3,1.2,1.5,1.5,1.8,2.5,2.5,2.8,2.9,,,
6,Samaná,1.7,0.6,1.9,1.5,2.3,2.6,2.3,2.9,3.3,3.2,3.9,,,
7,Valverde,3.4,1.4,2.7,2.4,2.7,1.7,3.5,3.8,2.7,2.8,2.2,,,
8,Barahona,3.4,1.5,3.4,3.9,4.1,3.6,4.0,6.1,5.7,7.8,8.3,,,
9,La Romana,8.6,0.9,2.9,2.9,2.6,2.9,3.0,3.2,3.2,5.1,4.7,,,
10,Monseñor Nouel,3.9,0.7,1.5,1.1,1.4,1.1,1.8,1.5,1.5,2.5,2.3,,,
11,Monte Cristi,2.0,1.1,2.7,2.7,2.8,3.4,3.5,3.7,3.5,2.0,1.5,,,
12,Pedernales,2.7,2.7,5.3,8.5,6.2,5.2,5.2,6.3,5.9,8.9,13.1,,,
13,Peravia,5.0,1.1,2.1,2.0,2.7,2.6,2.6,2.9,2.4,2.8,3.6,,,
14,Puerto Plata,3.0,0.8,1.8,1.7,1.9,1.9,2.0,1.8,1.6,2.2,1.9,,,
15,San José de Ocoa,2.2,1.7,2.6,3.6,2.7,2.7,2.5,3.0,3.1,3.9,5.3,,,
16,San Juan,2.6,1.1,2.4,3.2,2.7,3.1,3.9,4.9,5.4,6.4,7.7,,,
17,Santiago Rodríguez,1.3,0.6,1.2,1.0,1.3,1.1,1.5,2.0,1.4,1.7,1.1,,,
18,Distrito Nacional,4.6,1.0,1.7,1.5,1.8,1.6,2.5,2.7,2.0,2.4,3.2,,,
19,El Seibo,4.2,1.6,3.5,3.8,3.8,4.7,4.2,5.4,4.1,5.8,6.8,,,
20,Espaillat,1.9,0.8,1.8,1.5,1.8,1.8,1.5,2.0,1.8,2.5,2.2,,,
21,Hermanas Mirabal,1.6,0.7,1.4,1.2,1.7,1.6,1.1,1.2,1.3,2.6,2.3,,,
22,Independencia,4.0,1.7,2.6,2.9,3.3,3.4,2.8,3.3,4.5,5.3,4.6,,,
23,Baoruco,3.5,1.3,3.5,4.8,4.7,5.0,4.6,6.7,6.8,6.7,6.4,,,
24,Azua,3.9,1.2,2.8,2.9,2.9,2.9,3.2,3.2,3.1,4.0,4.3,,,
25,Dajabón,4.4,1.4,2.2,1.9,2.2,2.2,2.8,2.7,3.0,2.3,2.6,,,
26,La Altagracia,7.3,1.3,3.4,4.0,3.9,3.9,4.8,5.2,4.7,4.6,7.5,,,
27,María Trinidad Sánchez,2.0,0.7,1.7,0.9,0.8,1.3,1.0,1.2,1.1,1.1,1.5,,,
28,Santo Domingo,5.2,0.7,1.8,1.5,2.0,1.9,1.7,2.0,1.7,2.3,2.6,,,
29,Monte Plata,3.4,1.0,2.6,2.6,2.8,2.9,2.5,2.2,2.5,3.3,1.8,,,
30,San Cristóbal,4.0,0.8,2.1,1.9,2.4,2.5,2.1,2.2,1.8,2.9,3.2,,,
31,San Pedro de Macorís,4.0,1.0,2.4,2.8,3.0,3.6,3.7,4.1,3.8,4.1,4.8,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
