id,shapeName,0,1,2,3,4,5,16
0,Santiago,146,158,160,165,178,185,192
1,Duarte,1,2,2,3,3,3,3
2,Elías Piña,0,0,0,0,0,0,0
3,Hato Mayor,0,1,1,1,1,1,1
4,La Vega,23,21,19,18,16,17,17
5,Sánchez Ramírez,0,0,0,0,0,0,0
6,Samaná,0,0,0,0,0,0,0
7,Valverde,8,6,4,5,6,6,6
8,Barahona,2,2,2,2,2,2,2
9,La Romana,9,10,10,10,11,12,10
10,Monseñor Nouel,5,4,4,5,5,5,5
11,Monte Cristi,0,0,0,0,0,0,0
12,Pedernales,1,1,1,1,1,1,1
13,Peravia,6,6,6,5,7,7,7
14,Puerto Plata,7,6,7,6,6,9,10
15,San José de Ocoa,0,0,0,0,0,0,0
16,San Juan,0,0,0,0,0,0,0
17,Santiago Rodríguez,0,0,0,0,0,0,0
18,Distrito Nacional,0,0,0,0,0,0,0
19,El Seibo,1,1,2,2,2,2,2
20,Espaillat,8,9,9,11,9,8,9
21,Hermanas Mirabal,0,0,0,0,0,0,0
22,Independencia,0,0,0,0,0,0,0
23,Baoruco,0,0,0,0,0,0,0
24,Azua,0,0,0,0,0,0,0
25,Dajabón,0,0,0,0,0,0,0
26,La Altagracia,0,0,0,0,0,0,0
27,María Trinidad Sánchez,0,0,0,0,0,0,0
28,Santo Domingo,106,107,98,104,102,104,105
29,Monte Plata,0,0,0,0,0,0,0
30,San Cristóbal,57,57,57,57,60,60,60
31,San Pedro de Macorís,44,48,48,47,46,50,47
