code ,park,ent14,ent15
DOM-AND,andrés,1,1
DOM-BAN,baní,7,7
DOM-BAR,barahona,1,1
DOM-VIS,bella vista,1,1
DOM-BON,bonao,3,3
DOM-CIP,caribbean industrial park,27,29
DOM-CHE,chemtec,7,9
DOM-CIB,cibernético,6,5
DOM-CON,conacado industrial park,1,1
DOM-DOS,dos rios,1,1
DOM-LIM,el limonal,6,5
DOM-SEI,el seibo,2,2
DOM-ESP,esperanza,6,6
DOM-EXC,excel boca chica,1,1
DOM-GLO,global zona franca industrial,2,2
DOM-GUR,gurabo,8,8
DOM-HAI,hainamosa,4,7
DOM-HAT,hato mayor,1,1
DOM-HAN,hato nuevo,5,5
DOM-TAL,intercontinental,0,1
DOM-INT,interexport free zone,1,1
DOM-ARM,la armería,6,8
DOM-HIP,la herradura industrial park,0,1
DOM-HIS,la hispaniola,1,1
DOM-PAL,la palma,5,5
DOM-ROM,la romana i,6,7
DOM-RII,la romana ii,5,5
DOM-VEG,la vega,16,17
DOM-LAS,las américas,24,25
DOM-ALC,los alcarrizos,12,10
DOM-RIE,los rieles,1,1
DOM-ROB,los robles,1,1
DOM-MOC,moca,9,8
DOM-MUL,multimodal caucedo,4,4
DOM-MUT,multiparques,2,2
DOM-NAV,navarrete,5,4
DOM-NIG,nigua,7,6
DOM-PAB,palmar abajo,1,1
DOM-PAM,palmarejo,5,5
DOM-KGC,parque ind. kg compañía comercial,1,1
DOM-CDF,parque industrial cdf,1,1
DOM-YAQ,parque industrial y de servicios yaque,2,2
DOM-SLI,parque tecnológico de santiago,8,8
DOM-HER,parque z.f. tecnológica de herrera,1,2
DOM-PED,pedernales,1,1
DOM-PER,perlav,3,3
DOM-PIS,pisano,27,28
DOM-PUE,puerto plata,6,9
DOM-QUI,quisqueya,1,1
DOM-CRI,san cristóbal (itabo),43,42
DOM-FRA,san francisco de macorís,2,2
DOM-ISI,san isidro,34,33
DOM-MAC,san pedro de macorís,39,41
DOM-S12,santiago,74,75
DOM-JAN,santiago-jánico,3,3
DOM-TAM,tamboril,10,10
DOM-ALT,villa altagracia,4,4
DOM-MEL,villa mella,6,6
DOM-INF,z.f. ind. y de servicios norte infiesto,1,1
DOM-MAI,zona franca bahía de maimón,0,2
DOM-SUR,zona franca industrial del sur,1,1
DOM-EMI,zona franca industrial emimar,3,5
DOM-SAG,zona franca industrial sag,1,1
DOM-CTQ,zona franca industrial ctq,0,2
DOM-JOB,zona franca jobo industrial,0,2
DOM-ZFE,zonas francas especiales,141,136
