code,park,inv10
DOM-AND,Andrés,150803
DOM-BAN,Baní,10800470.35
DOM-BAR,Barahona,8000000
DOM-VIS,Bella Vista,140000000
DOM-BON,Bonao,2710115
DOM-CIP,Caribbean Ind. Park,98848558.18
DOM-CHE,Chemtec,9674380.13
DOM-CIB,Cibernético,28720043.69
DOM-DOS,Dos Ríos,110000000
DOM-ESP,Esperanza,28160673
DOM-EXC,Excel Boca Chica,3323751.86
DOM-LIM,El Limonal,5526995.41
DOM-SEI,El Seibo,180000
DOM-GUR,Gurabo,7227145.02
DOM-HAI,Hainamosa,12482560.08
DOM-HAN,Hato Nuevo,16721603.52
DOM-CRI,San Cristóbal (Itabo),223399295.8
DOM-INT,Interexport Free Zone,45300000
DOM-ARM,La Armería,8538776.22
DOM-HIS,La Hisponiola,3500000
DOM-PAL,La Palma,3424002
DOM-ROM,La Romana I,117961569.5
DOM-RII,La Romana II,25974000
DOM-VEG,La Vega,41049789.56
DOM-LAS,Las Américas,393617488.6
DOM-ALC,Los Alcarrizos,21776166.76
DOM-MOC,Moca,21420726.14
DOM-MUL,Multimodal Caucedo,16115800
DOM-MUT,Multiparques,17900000
DOM-NAV,Navarrete,3665907.2
DOM-NIG,Nigua,60612832.47
DOM-PAB,Palmar Abajo,0
DOM-PAM,Palmarejo,80389236.4
DOM-YAQ,Parque Industrial y de Servicios Yaque,7861425.67
DOM-PED,Pedernales,28000000
DOM-PER,PERLAV,39308186.17
DOM-PIS,PISANO,39089445.76
DOM-PUE,Puerto Plata,2893421.81
DOM-SAL,Salcedo,350000
DOM-FRA,San Fco. de Macorís,131939.96
DOM-ISI,San Isidro,138930602
DOM-MAC,San Pedro de Macorís,105633982.4
DOM-S12,Santiago,278022900.5
DOM-SLI,Parque Tecnológico de Santiago,7826394.28
DOM-JAN,Santiago - Jánico,11426448
DOM-TAM,Tamboril,25743439.15
DOM-ALT,Villa Artagracia,7527225
DOM-MEL,Villa Mella,9026248.52
DOM-ZFE,Zonas Francas Especiales,612665215.3
