code ,park,inv11
DOM-AND,Andrés,884314
DOM-BAN,Baní,11832510.3
DOM-BAR,Barahona,8000000
DOM-VIS,Bella Vista,151000000
DOM-BON,Bonao,2502840
DOM-CIP,Caribbean Ind. Park,74088828.3
DOM-CHE,Chemtec,12627628.3
DOM-CIB,Cibernético,23317650.2
DOM-DOS,Dos Ríos,65161871.9
DOM-LIM,El Limonal,5087227.7
DOM-SEI,El Seibo,165428
DOM-ESP,Esparanza,22456491.7
DOM-EXC,Excel Boca Chica,5980000
DOM-GUR,Gurabo,6222335
DOM-HAI,Hainamosa,11066456.6
DOM-HAT,Hato Mayor,350000
DOM-HAN,Hato Nuevo,18372661.8
DOM-INT,Interexport Free Zone,46400000
DOM-JAI,Jaibón,350000
DOM-ARM,La Armería,7005128.7
DOM-HIS,La Hispaniola,2968677
DOM-PAL,La Palma,5359568
DOM-ROM,La Romana I,96090446.4
DOM-RII,La Romana II,25939379.3
DOM-VEG,La Vega,40072679.2
DOM-LAS,Las Américas,357020442.4
DOM-ALC,Los Alcarrizos,22307044.2
DOM-MOC,Moca,19610193.8
DOM-MUL,Multimodal Caucedo,20499000
DOM-MUT,Multiparques,18250000
DOM-NAV,Navarrete,3179000
DOM-NIG,Nigua,65181742.5
DOM-PAB,Palmar Abajo,ND
DOM-PAM,Palmarejo,79196505.2
DOM-YAQ,Parque Ind. y Servicios Yaque,7876503.3
DOM-SLI,Parque Tecnológico de Santiago,6885414.8
DOM-PED,Pedernales,17000000
DOM-PER,PERLAV,43123873
DOM-PIS,PISANO,38503009.9
DOM-PON,Pontezuela alMedio,3000000
DOM-PUE,Puerto Plata,4141555.4
DOM-SAL,Salcedo,1000000
DOM-CRI,San Cristóbal (Itabo),303716964.3
DOM-FRA,San Francisco de Macorís,1053438.3
DOM-ISI,San Isidro,160469275.9
DOM-MAC,San Pedro de Macorís,117392030.2
DOM-S12,Santiago,282651061.6
DOM-JAN,Santiago-Jánico,5473432.9
DOM-TAM,Tamboril,31327567.4
DOM-ALT,Villa Altagracia,5827436
DOM-MEL,Villa Mella,10109835.7
DOM-ZFE,Zonas Francas Especiales,645592057
