code,Name,inv16
DOM-AND,Andrés,935650
DOM-BAN,Baní,7576911.08
DOM-BAR,Barahona,17700000
DOM-VIS,Bella Vista,283200500
DOM-BON,Bonao,3087012.18
DOM-CIP,Caribbean Industrial Park,75017908.83
DOM-CHE,Chemtec,11888282
DOM-CIB,Cibernético,14983445.16
DOM-CON,Conacado Industrial Park,14670572.54
DOM-DOS,Dos Ríos,211987405
DOM-LIM,El Limonal,5604124.68
DOM-SEI,El Seibo,750000
DOM-ESP,Esperanza,19795843.72
DOM-EXC,Excel Boca Chica,8330000
DOM-GLO,Global Zona Franca Industrial,728733
DOM-GUR,Gurabo,27261655.52
DOM-HAI,Hainamosa,22329475.47
DOM-HAT,Hato Mayor,1237451
DOM-HAN,Hato Nuevo,25844201.88
DOM-TAL,Intercontinental,1050670.4
DOM-INT,Interexport Free Zone,7300000
DOM-ARM,La Armería,7167910.28
DOM-HIP,La Herradura Industrial Park,3009858.14
DOM-HIS,La Hispaniola,4930475
DOM-PAL,La Palma,5417113.82
DOM-ROM,La Romana I,190093144.4
DOM-RII,La Romana II,26320202.75
DOM-VEG,La Vega,48503969.15
DOM-LAS,Las Americas,383936907.5
DOM-ALC,Los Alcarrizos,25518598.92
DOM-RIE,Los Rieles,12147579
DOM-MOC,Moca,17494945.85
DOM-MUL,Multimodal Caucedo,10459806.19
DOM-MUT,Multiparques,18776756.54
DOM-NAV,Navarrete,9649330
DOM-NIG,Nigua,84454679.9
DOM-PAB,Palmar Abajo,0
DOM-PAM,Palmarejo,49619554.78
DOM-KGC,Parque Industrial KG Compañía Comercial,1378419
DOM-YAQ,Parque Industrial y de Sericios Yaque,15053412
DOM-SUN,Parque Industrial Zona Franca Sunsea,3000000
DOM-CDF,Parque Industrial CDF,13877081.07
DOM-CTQ,Parque Industrial CTQ,4417394.92
DOM-INE,Parque Industrial INETAB,11243908.33
DOM-SLI,Parque Tecnológico de Santiago,8488603.96
DOM-HER,Parque Z.F. Tecnológica de Herrera,3480183.61
DOM-PED,Pedernales,12000000
DOM-PER,PERLAV,73831661.01
DOM-PIS,PISANO,103649145.3
DOM-PUE,Puerto Plata,13735084.78
DOM-QUI,Quisqueya,213750
DOM-CRI,San Cristóbal (Itabo),400875948.6
DOM-FRA,San Francisco de Macorís,3353902.07
DOM-ISI,San Isidro,185910845.6
DOM-MAC,San Pedro de Macorís,306711790.8
DOM-S12,Santiago,481804920
DOM-JAN,Santiago Jánico,22017101
DOM-TAM,Tamboril,135588673.2
DOM-ALT,Villa Altagracia,11435533.57
DOM-MEL,Villa Mella,16910749.48
DOM-INF,Z.F. Ind. y de Servicios Norte Infiesto,210000
DOM-MAI,Zona Franca Bahía de Maimón,2149200
DOM-6NO,Zona Franca Industrial 6 de Noviembre,1890354
DOM-NOR,Zona Franca Industrial del Norte,451139.59
DOM-SUR,Zona Franca Industrial del Sur,58550.38
DOM-EMI,Zona Franca Industrial Emimar,7121521.1
DOM-SAG,Zona Franca Industrial SAG,4726408.12
DOM-JOB,Zona Franca Jobo Industrial,6534700
DOM-ZFE,Zonas Francas Especiales,815912571.9
